"FILENAME";"RESULT";"COMMENT"
"instance05547.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance00905.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance01067.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance07352.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance13910.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance09050.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance00214.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance02573.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance00302.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance08272.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance04264.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance04829.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance11776.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance07950.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance14098.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance03416.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance05586.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance12497.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance14050.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance07555.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance02231.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance09054.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance03316.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance05236.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance00617.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance02816.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance15458.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance04971.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance11561.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance02918.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance03444.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance15013.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance08174.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance10470.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance00970.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance10348.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance04339.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance05655.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance13832.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance01368.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance01297.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance15712.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance12264.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance01014.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance08155.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance03227.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance07288.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance00186.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance03559.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance10370.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance13835.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance01427.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance05378.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance03800.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance10958.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance04875.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance14669.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance15233.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance10570.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance01277.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance06072.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance11384.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance07394.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance05487.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance06277.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance04077.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance13479.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance09232.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance06842.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance13655.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance12921.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance04052.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance00185.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance09484.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance08829.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance15604.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance15466.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance07790.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance01884.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance11440.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance11465.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance05345.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance04283.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance07799.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance09963.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance02556.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance15636.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance01568.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance15809.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance02520.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance01274.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance07831.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance05210.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance12978.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance13360.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance05979.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance07313.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance11875.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance00715.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance02468.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance01852.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance15336.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance05728.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance04246.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance11097.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance14597.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance06609.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance04762.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance12422.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance05635.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance09140.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance10397.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance12233.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance06587.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance12285.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance04600.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance03142.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance00080.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance03791.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance00159.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance05865.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance12881.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance07337.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance04914.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance01474.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance05844.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance15585.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance05447.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance06765.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance12237.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance14772.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance08222.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance00218.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance06137.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance12995.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance06388.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance04466.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance13265.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
"instance08945.smt2";"False";"most likely UNSAT,100% of the solvers answered UNSAT, no disagreeing"
"instance04391.smt2";"True";"verified model,100% of the solvers answered SAT, no disagreeing"
